Name of the hardware,Manufacturer,FP64 (double precision) Performance (FLOP/s),FP32 (single precision) Performance (FLOP/s),FP16 (half precision) Performance (FLOP/s),INT16 Performance (OP/s),INT8 Performance (OP/s),Memory size per board (Byte),Memory Bandwidth (Byte/s),LambdaLabs FP32 ResNet-50 Pytorch Throughput (samples/s),Release date,Release year,Release price (USD),Prominent Years of usage,Link to datasheet,Source for the Price
NVIDIA P100,NVIDIA,4.70E+12,9.30E+12,1.87E+13,,,,,,,,"$5,699.00",,https://images.nvidia.com/content/tesla/pdf/nvidia-tesla-p100-PCIe-datasheet.pdf,https://www.techpowerup.com/gpu-specs/tesla-p100-pcie-16-gb.c2888
NVIDIA Quadro K1200,NVIDIA,3.60E+10,1.15E+12,,,,,,,,,$322.00,,https://www.techpowerup.com/gpu-specs/quadro-k1200.c2641,"https://technical.city/en/video/Quadro-K1200#:~:text=Summary,and%20primarily%20aimed%20at%20designers"
NVIDIA RTX A6000,NVIDIA,"1,21E+12",3.87E+13,3.87E+13,,,,,,,,,,,
NVIDIA T4,NVIDIA,,8.10E+12,,,,,,,,,,,,
NVIDIA Tesla P4,NVIDIA,,5.50E+12,,,2.20E+13,,,,,,,,,"https://www.hardwarezone.com.sg/tech-news-nvidia-dgx-a100-supercomputer-super-performance-fight-covid-19#:~:text=The%20new%20DGX%20A100%20costs,has%20a%20height%20of%20444mm."
NVIDIA Quadro M4000,NVIDIA,8.04E+10,2.57E+12,,,,,,,,,,,https://www.techpowerup.com/gpu-specs/quadro-m4000.c2757,
NVIDIA Quadro P4000,NVIDIA,,5.30E+12,8.29E+10,,,,,,,,,,https://www.techpowerup.com/gpu-specs/quadro-p4000.c2930,
NVIDIA Quadro P5000,NVIDIA,2.77E+11,8.87E+12,1.39E+11,,,,,,,,,,https://www.techpowerup.com/gpu-specs/quadro-p5000.c2864,
NVIDIA Quadro P6000,NVIDIA,,1.26E+13,,,,,,,,,,,https://www.techpowerup.com/gpu-specs/quadro-p6000.c2865,
NVIDIA Quadro RTX4000,NVIDIA,,7.10E+12,,,,,,, ,,,,,
NVIDIA Quadro RTX5000,NVIDIA,,1.13E+13,,,,,,,,,,,,
NVIDIA RTX A4000,NVIDIA,,1.92E+13,,,,,,,,,,,,
NVIDIA TESLA M60,NVIDIA,3.02E+11,9.65E+12,,,,,,,,,,,https://www.techpowerup.com/gpu-specs/tesla-m60.c2760,
NVIDIA A10G,NVIDIA,3.25E+13,3.25E+13,9.85E+14,,,,,,,,,,,
NVIDIA QUADRO RTX6000,NVIDIA,,1.63E+13,,,,,,,,,,,https://www.techpowerup.com/gpu-specs/a10g.c3798,
NVIDIA P4,NVIDIA,,5.50E+12,,,2.20E+13,,,,,,,,https://www.techpowerup.com/gpu-specs/tesla-p40.c2878,
NVIDIA P40,NVIDIA,1.84E+11,1.18E+13,3.67E+14,,,,,,,,,,,
NVIDIA RTX A5000,NVIDIA,8.68E+11,2.78E+13,2.78E+13,,,,,,,,,,,
NVIDIA GeForce RTX 3090,NVIDIA,5.56E+11,3.56E+13,3.56E+13,,,,,,,,,,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,
NVIDIA GeForce RTX 3080,NVIDIA,4.65E+11,2.98E+13,2.98E+13,,,,,,,,,,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080.c3621,
NVIDIA GeForce GTX 1080 Ti,NVIDIA,3.54E+11,1.13E+13,1.77E+11,,,,,,,,,,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080-ti.c2877,
